suburb,postcode,lga,crime_totalIncidents,crime_year,crimeLga_ratePer100k,crimeLga_crimeScore,rent_region,rent_period,rent_1brFlat,rent_2brFlat,rent_3brFlat,rent_2brHouse,rent_3brHouse,rent_4brHouse,rent_all,rent_1brFlat_score,rent_2brFlat_score,rent_3brFlat_score,rent_2brHouse_score,rent_3brHouse_score,rent_4brHouse_score,rent_all_score,meanMedianHousePrice,meanMedianUnitPrice,housePriceScore,unitPriceScore
Derrimut,3026,Brimbank,651,2025,7366.8,-2.6419,,,,,,,,,,,,,,,,,766100.0,,-0.839,
Devon Meadows,3977,Casey,80,2025,5486.1,-0.1306,,,,,,,,,,,,,,,,,,,,
Dewhurst,3809,Cardinia,5,2025,4967.7,0.5616,,,,,,,,,,,,,,,,,,,,
Diamond Creek,3089,Nillumbik,338,2025,2567.5,3.0,,,,,,,,,,,,,,,,,1059800.0,792100.0,0.2005,1.3739
Diggers Rest,3427,Melton,337,2025,5388.3,-0.0,,,,,,,,,,,,,,,,,649000.0,,-1.2534,
Dingley Village,3172,Kingston,356,2025,5702.9,-0.4201,,,,,,,,,,,,,,,,,1116360.0,753100.0,0.4006,1.02
Dixons Creek,3775,Yarra Ranges,16,2025,3669.3,2.2954,,,,,,,,,,,,,,,,,,,,
Docklands,3008,Melbourne,3070,2025,17671.9,-3.0,Inner Melbourne,2025-09-30,600,763,1200,,,,700,3.0,3.0,3.0,,,,2.0,,599000.0,,-0.3784
Don Valley,3139,Yarra Ranges,13,2025,3669.3,2.2954,,,,,,,,,,,,,,,,,,,,
Doncaster,3108,Manningham,1662,2025,3100.2,3.0,Inner Eastern Melbourne,2025-09-30,480,595,720,570,660,820,670,0.8511,0.9,0.2381,0.0,0.0,-0.1579,1.4,1504600.0,630480.0,1.7746,-0.0927
Doncaster East,3109,Manningham,766,2025,3100.2,3.0,Inner Eastern Melbourne,2025-09-30,470,575,695,530,680,830,700,0.6383,0.5,0.0,-0.5714,0.2,-0.1053,2.0,1589000.0,855800.0,2.0733,1.9519
Donnybrook,3064,Whittlesea,461,2025,5327.2,0.0816,,,,,,,,,,,,,,,,,651240.0,,-1.2455,
Donvale,3111,Manningham,221,2025,3100.2,3.0,Inner Eastern Melbourne,2025-09-30,470,575,695,530,680,830,700,0.6383,0.5,0.0,-0.5714,0.2,-0.1053,2.0,1532000.0,836500.0,1.8716,1.7768
Doreen,3754,Whittlesea,761,2025,5327.2,0.0816,,,,,,,,,,,,,,,,,761000.0,532340.0,-0.857,-0.9833
Doveton,3177,Casey,1238,2025,5486.1,-0.1306,,,,,,,,,,,,,,,,,609960.0,549300.0,-1.3916,-0.8294
