suburb,postcode,lga,crime_totalIncidents,crime_year,crime_offence1,crime_offence1_proportion,crime_offence2,crime_offence2_proportion,crime_offence3,crime_offence3_proportion,crime_offence4,crime_offence4_proportion,crime_offence5,crime_offence5_proportion,crimeLga_ratePer100k,crimeLga_melbourneRank,crimeLga_melbourneRankPercentile,rent_region,rent_period,rent_1brFlat,rent_2brFlat,rent_3brFlat,rent_2brHouse,rent_3brHouse,rent_4brHouse,rent_all,rent_1brFlat_rank,rent_2brFlat_rank,rent_3brFlat_rank,rent_2brHouse_rank,rent_3brHouse_rank,rent_4brHouse_rank,rent_all_rank,rent_1brFlat_percentile,rent_2brFlat_percentile,rent_3brFlat_percentile,rent_2brHouse_percentile,rent_3brHouse_percentile,rent_4brHouse_percentile,rent_all_percentile
Kew,3101,Boroondara,1335,2025,B42 Steal from a motor vehicle,0.2375,B43 Steal from a retail store,0.1146,B49 Other theft,0.0981,B21 Criminal damage,0.0839,B321 Residential non-aggravated burglary,0.0742,4447.7,26,19.4,Inner Eastern Melbourne,2025-09-30,470,575,850,663,850,1300,690,14,23,13,19,14,9,11,85.6,77.8,87.9,81.4,86.7,91.6,90.0
Kew East,3102,Boroondara,285,2025,B42 Steal from a motor vehicle,0.2175,B311 Residential aggravated burglary,0.0877,B49 Other theft,0.0772,B321 Residential non-aggravated burglary,0.0632,B53 Obtain benefit by deception,0.0632,4447.7,26,19.4,,,,,,,,,,,,,,,,,,,,,,,
Keysborough,3173,Greater Dandenong,1443,2025,B42 Steal from a motor vehicle,0.201,B43 Steal from a retail store,0.1143,B41 Motor vehicle theft,0.0859,B49 Other theft,0.0825,B21 Criminal damage,0.0651,10169.3,5,87.1,,,,,,,,,,,,,,,,,,,,,,,
Kilsyth,3137,Yarra Ranges,513,2025,B42 Steal from a motor vehicle,0.1345,E21 Breach family violence order,0.0916,B49 Other theft,0.0877,B21 Criminal damage,0.0858,B41 Motor vehicle theft,0.0526,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Kilsyth South,3137,Maroondah,74,2025,B42 Steal from a motor vehicle,0.2162,B321 Residential non-aggravated burglary,0.1351,B49 Other theft,0.0811,E21 Breach family violence order,0.0811,B322 Non-residential non-aggravated burglary,0.0676,5643.1,16,51.6,,,,,,,,,,,,,,,,,,,,,,,
Kinglake,3763,Nillumbik,51,2025,E21 Breach family violence order,0.1961,B49 Other theft,0.1373,A231 FV Common assault,0.1176,B53 Obtain benefit by deception,0.0784,Other crimes against the person,0.0588,2567.5,31,3.2,,,,,,,,,,,,,,,,,,,,,,,
Kinglake West,3778,Whittlesea,20,2025,B41 Motor vehicle theft,0.15,B42 Steal from a motor vehicle,0.15,B49 Other theft,0.1,A231 FV Common assault,0.05,B11 Cause damage by fire,0.05,5327.2,21,35.5,,,,,,,,,,,,,,,,,,,,,,,
Kings Park,3021,Brimbank,313,2025,B42 Steal from a motor vehicle,0.1629,B41 Motor vehicle theft,0.0831,B49 Other theft,0.0767,B321 Residential non-aggravated burglary,0.0703,E21 Breach family violence order,0.0671,7366.8,9,74.2,,,,,,,,,,,,,,,,,,,,,,,
Kingsbury,3083,Darebin,370,2025,B42 Steal from a motor vehicle,0.2595,B49 Other theft,0.1757,B21 Criminal damage,0.0703,B321 Residential non-aggravated burglary,0.0595,A231 FV Common assault,0.0405,8504.0,8,77.4,,,,,,,,,,,,,,,,,,,,,,,
Kingsville,3012,Maribyrnong,188,2025,B42 Steal from a motor vehicle,0.4202,B41 Motor vehicle theft,0.117,B49 Other theft,0.1011,B21 Criminal damage,0.0426,B44 Theft of a bicycle,0.0319,10545.5,4,90.3,,,,,,,,,,,,,,,,,,,,,,,
Knoxfield,3180,Knox,327,2025,B42 Steal from a motor vehicle,0.1682,B49 Other theft,0.1162,B21 Criminal damage,0.0856,B41 Motor vehicle theft,0.0581,B43 Steal from a retail store,0.0581,4872.9,25,22.6,,,,,,,,,,,,,,,,,,,,,,,
Koo Wee Rup,3981,Cardinia,210,2025,B49 Other theft,0.1286,E21 Breach family violence order,0.119,B322 Non-residential non-aggravated burglary,0.1048,B42 Steal from a motor vehicle,0.1048,B21 Criminal damage,0.0619,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Koo Wee Rup North,3891,Cardinia,1,2025,C32 Drug possession,1.0,,,,,,,,,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Kooyong,3144,Stonnington,76,2025,B42 Steal from a motor vehicle,0.2237,E13 Resist or hinder officer,0.1184,B321 Residential non-aggravated burglary,0.0789,B41 Motor vehicle theft,0.0789,B21 Criminal damage,0.0526,9532.0,6,83.9,,,,,,,,,,,,,,,,,,,,,,,
Kurunjang,3337,Melton,468,2025,B42 Steal from a motor vehicle,0.1752,E21 Breach family violence order,0.1453,B21 Criminal damage,0.1068,A231 FV Common assault,0.0577,B49 Other theft,0.0577,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Lalor,3075,Whittlesea,1174,2025,B42 Steal from a motor vehicle,0.1652,B43 Steal from a retail store,0.1252,E21 Breach family violence order,0.0903,B21 Criminal damage,0.0792,B49 Other theft,0.0596,5327.2,21,35.5,North Eastern Melbourne,2025-09-30,375,450,501,470,510,590,500,30,43,54,44,44,58,36,67.8,57.6,46.5,55.7,56.1,40.0,65.0
Lang Lang,3984,Cardinia,130,2025,B49 Other theft,0.1308,B42 Steal from a motor vehicle,0.1231,E21 Breach family violence order,0.1154,B21 Criminal damage,0.1,Other crimes against the person,0.0462,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Lang Lang East,3894,Cardinia,,,,,,,,,,,,,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Langwarrin,3910,Frankston,806,2025,B42 Steal from a motor vehicle,0.165,E21 Breach family violence order,0.1141,B21 Criminal damage,0.0806,B49 Other theft,0.0707,B43 Steal from a retail store,0.0459,8866.5,7,80.6,,,,,,,,,,,,,,,,,,,,,,,
Langwarrin South,3911,Frankston,39,2025,B42 Steal from a motor vehicle,0.2308,B21 Criminal damage,0.1026,E21 Breach family violence order,0.1026,B322 Non-residential non-aggravated burglary,0.0769,B53 Obtain benefit by deception,0.0769,8866.5,7,80.6,,,,,,,,,,,,,,,,,,,,,,,
Launching Place,3139,Yarra Ranges,67,2025,E21 Breach family violence order,0.2388,B49 Other theft,0.1194,B21 Criminal damage,0.1045,A211 FV Serious assault,0.0597,B321 Residential non-aggravated burglary,0.0597,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Laverton,3028,Wyndham,646,2025,B42 Steal from a motor vehicle,0.2043,B49 Other theft,0.1099,B41 Motor vehicle theft,0.0944,B21 Criminal damage,0.0759,B321 Residential non-aggravated burglary,0.0604,5389.9,19,41.9,,,,,,,,,,,,,,,,,,,,,,,
Laverton North,3026,Wyndham,645,2025,B49 Other theft,0.2775,B42 Steal from a motor vehicle,0.1783,B322 Non-residential non-aggravated burglary,0.124,B41 Motor vehicle theft,0.1178,B21 Criminal damage,0.0543,5389.9,19,41.9,,,,,,,,,,,,,,,,,,,,,,,
Lilydale,3140,Yarra Ranges,1192,2025,B43 Steal from a retail store,0.1787,E21 Breach family violence order,0.099,B21 Criminal damage,0.078,B49 Other theft,0.0713,B42 Steal from a motor vehicle,0.0612,3669.3,29,9.7,Outer Eastern Melbourne,2025-09-30,363,500,620,525,600,730,600,33,34,42,35,34,44,23,64.4,66.7,58.6,64.9,66.3,54.7,78.0
Little River,3211,Wyndham,201,2025,B49 Other theft,0.2637,B41 Motor vehicle theft,0.1144,B42 Steal from a motor vehicle,0.0597,B45 Receiving or handling stolen goods,0.0547,B21 Criminal damage,0.0547,5389.9,19,41.9,,,,,,,,,,,,,,,,,,,,,,,
Longwarry,3816,Cardinia,162,2025,B42 Steal from a motor vehicle,0.1543,B21 Criminal damage,0.0988,A231 FV Common assault,0.0617,B322 Non-residential non-aggravated burglary,0.0617,E23 Breach bail conditions,0.0617,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Lower Plenty,3093,Banyule,99,2025,B321 Residential non-aggravated burglary,0.1414,B42 Steal from a motor vehicle,0.1414,B21 Criminal damage,0.101,E21 Breach family violence order,0.0808,B41 Motor vehicle theft,0.0707,6137.2,13,61.3,,,,,,,,,,,,,,,,,,,,,,,
Lynbrook,3975,Casey,552,2025,B42 Steal from a motor vehicle,0.212,B49 Other theft,0.1178,B21 Criminal damage,0.0978,E21 Breach family violence order,0.0562,B41 Motor vehicle theft,0.0507,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Lyndhurst,3975,Greater Dandenong,385,2025,B42 Steal from a motor vehicle,0.2052,B311 Residential aggravated burglary,0.0935,B49 Other theft,0.0857,B21 Criminal damage,0.0753,B43 Steal from a retail store,0.0701,10169.3,5,87.1,,,,,,,,,,,,,,,,,,,,,,,
Lysterfield,3156,Yarra Ranges,131,2025,B42 Steal from a motor vehicle,0.145,B49 Other theft,0.145,B311 Residential aggravated burglary,0.0992,E21 Breach family violence order,0.0916,B53 Obtain benefit by deception,0.0611,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Lysterfield South,3156,Casey,29,2025,B53 Obtain benefit by deception,0.1379,B311 Residential aggravated burglary,0.1034,B42 Steal from a motor vehicle,0.1034,A232 Non-FV Common assault,0.069,A89 Other dangerous or negligent acts endangering people,0.069,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Macclesfield,3782,Yarra Ranges,13,2025,B322 Non-residential non-aggravated burglary,0.2308,B19 Other fire related offences,0.1538,B321 Residential non-aggravated burglary,0.1538,A81 Dangerous driving,0.0769,B21 Criminal damage,0.0769,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Macleod,3085,Darebin,308,2025,B42 Steal from a motor vehicle,0.2435,B22 Graffiti,0.1169,B321 Residential non-aggravated burglary,0.0844,B41 Motor vehicle theft,0.0844,B49 Other theft,0.0682,8504.0,8,77.4,,,,,,,,,,,,,,,,,,,,,,,
Maidstone,3012,Maribyrnong,797,2025,B42 Steal from a motor vehicle,0.3036,B41 Motor vehicle theft,0.1079,B49 Other theft,0.0966,B21 Criminal damage,0.074,B53 Obtain benefit by deception,0.0489,10545.5,4,90.3,,,,,,,,,,,,,,,,,,,,,,,
Main Ridge,3928,Mornington Peninsula,13,2025,B321 Residential non-aggravated burglary,0.3846,B41 Motor vehicle theft,0.2308,B311 Residential aggravated burglary,0.0769,B322 Non-residential non-aggravated burglary,0.0769,B42 Steal from a motor vehicle,0.0769,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Malvern East,3145,Stonnington,2291,2025,B42 Steal from a motor vehicle,0.234,B43 Steal from a retail store,0.1851,B49 Other theft,0.0851,B41 Motor vehicle theft,0.0629,B21 Criminal damage,0.0576,9532.0,6,83.9,Southern Melbourne,2025-09-30,480,600,800,650,750,1150,610,13,17,18,21,19,15,22,86.7,83.8,82.8,79.4,81.6,85.3,79.0
Mambourin,3024,Wyndham,295,2025,B49 Other theft,0.461,B321 Residential non-aggravated burglary,0.0746,B42 Steal from a motor vehicle,0.0712,B21 Criminal damage,0.061,A231 FV Common assault,0.0373,5389.9,19,41.9,,,,,,,,,,,,,,,,,,,,,,,
Manor Lakes,3024,Wyndham,699,2025,B49 Other theft,0.2117,B42 Steal from a motor vehicle,0.1531,B21 Criminal damage,0.083,B41 Motor vehicle theft,0.0687,E21 Breach family violence order,0.0587,5389.9,19,41.9,,,,,,,,,,,,,,,,,,,,,,,
Maribyrnong,3032,Maribyrnong,1893,2025,B42 Steal from a motor vehicle,0.2647,B43 Steal from a retail store,0.1463,B49 Other theft,0.1104,B41 Motor vehicle theft,0.0782,B21 Criminal damage,0.0534,10545.5,4,90.3,,,,,,,,,,,,,,,,,,,,,,,
Maryknoll,3812,Cardinia,9,2025,E21 Breach family violence order,0.3333,A231 FV Common assault,0.1111,Other crimes against the person,0.1111,B42 Steal from a motor vehicle,0.1111,B45 Receiving or handling stolen goods,0.1111,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Matlock,3723,Yarra Ranges,1,2025,B321 Residential non-aggravated burglary,1.0,,,,,,,,,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
McCrae,3938,Mornington Peninsula,171,2025,B321 Residential non-aggravated burglary,0.2339,B42 Steal from a motor vehicle,0.0877,B49 Other theft,0.0877,E21 Breach family violence order,0.0819,B21 Criminal damage,0.0643,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
McKinnon,3204,Glen Eira,186,2025,B42 Steal from a motor vehicle,0.2366,B49 Other theft,0.0806,B21 Criminal damage,0.0753,B311 Residential aggravated burglary,0.0753,B41 Motor vehicle theft,0.0699,3838.9,28,12.9,,,,,,,,,,,,,,,,,,,,,,,
McMahons Creek,3799,Yarra Ranges,15,2025,B53 Obtain benefit by deception,0.1333,E21 Breach family violence order,0.1333,A211 FV Serious assault,0.0667,A232 Non-FV Common assault,0.0667,A712 Non-FV Stalking,0.0667,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Meadow Heights,3048,Hume,706,2025,E21 Breach family violence order,0.1445,B42 Steal from a motor vehicle,0.1317,B21 Criminal damage,0.0878,A211 FV Serious assault,0.0722,B41 Motor vehicle theft,0.0637,6346.4,11,67.7,,,,,,,,,,,,,,,,,,,,,,,
Melbourne,3004,Port Phillip,18456,2025,B49 Other theft,0.1525,B42 Steal from a motor vehicle,0.1258,B43 Steal from a retail store,0.1068,E23 Breach bail conditions,0.0724,A232 Non-FV Common assault,0.067,11004.1,3,93.5,,,,,,,,,,,,,,,,,,,,,,,
Melbourne Airport,3045,Hume,1047,2025,B49 Other theft,0.255,B42 Steal from a motor vehicle,0.2111,B41 Motor vehicle theft,0.2025,D12 Prohibited and controlled weapons offences,0.0516,B21 Criminal damage,0.0497,6346.4,11,67.7,,,,,,,,,,,,,,,,,,,,,,,
Melton,3337,Melton,1603,2025,B49 Other theft,0.1173,B43 Steal from a retail store,0.0992,B42 Steal from a motor vehicle,0.0898,B21 Criminal damage,0.0817,E21 Breach family violence order,0.0767,5388.3,20,38.7,Outer Western Melbourne,2025-09-30,350,365,400,375,420,470,450,35,48,61,49,52,65,40,62.2,52.5,39.4,50.5,48.0,32.6,61.0
Melton South,3338,Melton,1035,2025,B21 Criminal damage,0.113,B49 Other theft,0.0995,E21 Breach family violence order,0.086,B42 Steal from a motor vehicle,0.085,B43 Steal from a retail store,0.0812,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Melton West,3337,Melton,908,2025,B43 Steal from a retail store,0.1916,B42 Steal from a motor vehicle,0.0925,B21 Criminal damage,0.087,B49 Other theft,0.0815,E21 Breach family violence order,0.0606,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Mentone,3194,Kingston,738,2025,B42 Steal from a motor vehicle,0.1599,B43 Steal from a retail store,0.1409,B49 Other theft,0.1098,E21 Breach family violence order,0.0799,B21 Criminal damage,0.0732,5702.9,15,54.8,Southern Melbourne,2025-09-30,405,550,720,600,750,910,580,25,26,28,24,19,28,26,73.3,74.7,72.7,76.3,81.6,71.6,75.0
Menzies Creek,3159,Cardinia,15,2025,A211 FV Serious assault,0.1333,Other crimes against the person,0.1333,B42 Steal from a motor vehicle,0.1333,A232 Non-FV Common assault,0.0667,D11 Firearms offences,0.0667,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Mernda,3754,Whittlesea,1142,2025,B42 Steal from a motor vehicle,0.148,B49 Other theft,0.0954,E21 Breach family violence order,0.0919,B21 Criminal damage,0.0884,B43 Steal from a retail store,0.0867,5327.2,21,35.5,,,,,,,,,,,,,,,,,,,,,,,
Merricks,3916,Mornington Peninsula,2,2025,B321 Residential non-aggravated burglary,0.5,B322 Non-residential non-aggravated burglary,0.5,,,,,,,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Merricks Beach,3926,Mornington Peninsula,5,2025,B49 Other theft,0.6,B321 Residential non-aggravated burglary,0.2,B42 Steal from a motor vehicle,0.2,,,,,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Merricks North,3926,Mornington Peninsula,28,2025,B49 Other theft,0.2143,B321 Residential non-aggravated burglary,0.1429,B41 Motor vehicle theft,0.1071,A731 FV Threatening behaviour,0.0714,A81 Dangerous driving,0.0714,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Mickleham,3064,Hume,1001,2025,B49 Other theft,0.1548,B42 Steal from a motor vehicle,0.1339,B41 Motor vehicle theft,0.0739,B21 Criminal damage,0.0699,E21 Breach family violence order,0.0699,6346.4,11,67.7,,,,,,,,,,,,,,,,,,,,,,,
Middle Park,3206,Port Phillip,260,2025,B42 Steal from a motor vehicle,0.3962,B41 Motor vehicle theft,0.1654,B321 Residential non-aggravated burglary,0.0923,B49 Other theft,0.0769,B21 Criminal damage,0.0654,11004.1,3,93.5,Inner Melbourne,2025-09-30,450,643,825,760,1150,1400,698,18,12,15,7,2,6,9,81.1,88.9,85.9,93.8,99.0,94.7,92.0
Mill Park,3082,Whittlesea,1328,2025,B42 Steal from a motor vehicle,0.1785,B43 Steal from a retail store,0.0866,B49 Other theft,0.0851,B21 Criminal damage,0.0633,E21 Breach family violence order,0.058,5327.2,21,35.5,North Eastern Melbourne,2025-09-30,400,450,520,480,530,600,530,26,43,53,42,43,57,32,72.2,57.6,47.5,57.7,57.1,41.1,69.0
Millgrove,3799,Yarra Ranges,57,2025,E21 Breach family violence order,0.1404,A231 FV Common assault,0.1228,B321 Residential non-aggravated burglary,0.1228,A211 FV Serious assault,0.1053,B21 Criminal damage,0.0702,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Mitcham,3132,Whitehorse,795,2025,B42 Steal from a motor vehicle,0.3308,B41 Motor vehicle theft,0.0855,B21 Criminal damage,0.0755,B49 Other theft,0.0704,B322 Non-residential non-aggravated burglary,0.0642,5032.8,23,29.0,Inner Eastern Melbourne,2025-09-30,435,520,650,525,625,745,580,21,32,38,35,31,43,26,77.8,68.7,62.6,64.9,69.4,55.8,75.0
Modella,3816,Cardinia,7,2025,E21 Breach family violence order,0.4286,A711 FV Stalking,0.1429,A731 FV Threatening behaviour,0.1429,B12 Cause a bushfire,0.1429,B21 Criminal damage,0.1429,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Monbulk,3793,Yarra Ranges,110,2025,B21 Criminal damage,0.1636,B42 Steal from a motor vehicle,0.1,B49 Other theft,0.1,Other crimes against the person,0.0727,B322 Non-residential non-aggravated burglary,0.0727,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Monomeith,3984,Cardinia,7,2025,A231 FV Common assault,0.2857,B42 Steal from a motor vehicle,0.2857,B11 Cause damage by fire,0.1429,B49 Other theft,0.1429,E21 Breach family violence order,0.1429,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Mont Albert,3127,Whitehorse,361,2025,B42 Steal from a motor vehicle,0.2964,B43 Steal from a retail store,0.0886,B321 Residential non-aggravated burglary,0.0831,B41 Motor vehicle theft,0.072,B21 Criminal damage,0.0693,5032.8,23,29.0,Inner Eastern Melbourne,2025-09-30,450,570,740,620,800,1100,678,18,24,24,23,16,19,14,81.1,76.8,76.8,77.3,84.7,81.1,87.0
Mont Albert North,3129,Whitehorse,144,2025,B42 Steal from a motor vehicle,0.25,B321 Residential non-aggravated burglary,0.1319,B41 Motor vehicle theft,0.0764,B21 Criminal damage,0.0556,B322 Non-residential non-aggravated burglary,0.0486,5032.8,23,29.0,,,,,,,,,,,,,,,,,,,,,,,
Montmorency,3094,Banyule,126,2025,B42 Steal from a motor vehicle,0.2619,Other crimes against the person,0.0873,B49 Other theft,0.0794,E21 Breach family violence order,0.0556,A231 FV Common assault,0.0476,6137.2,13,61.3,North Eastern Melbourne,2025-09-30,360,500,620,500,650,813,640,34,34,42,39,28,35,18,63.3,66.7,58.6,60.8,72.4,64.2,83.0
Montrose,3765,Yarra Ranges,183,2025,B42 Steal from a motor vehicle,0.1366,E21 Breach family violence order,0.1311,B49 Other theft,0.1148,Other crimes against the person,0.0656,B21 Criminal damage,0.0601,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Moorabbin,3189,Kingston,1216,2025,E23 Breach bail conditions,0.3495,B42 Steal from a motor vehicle,0.1168,B49 Other theft,0.0641,B43 Steal from a retail store,0.0584,B322 Non-residential non-aggravated burglary,0.0576,5702.9,15,54.8,,,,,,,,,,,,,,,,,,,,,,,
Moorabbin Airport,3194,Kingston,209,2025,B43 Steal from a retail store,0.3541,B42 Steal from a motor vehicle,0.1148,B322 Non-residential non-aggravated burglary,0.11,B41 Motor vehicle theft,0.0957,B49 Other theft,0.0766,5702.9,15,54.8,,,,,,,,,,,,,,,,,,,,,,,
Moorooduc,3933,Mornington Peninsula,73,2025,B49 Other theft,0.1781,E13 Resist or hinder officer,0.0959,B322 Non-residential non-aggravated burglary,0.0685,B21 Criminal damage,0.0548,B321 Residential non-aggravated burglary,0.0548,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Mooroolbark,3138,Yarra Ranges,802,2025,B42 Steal from a motor vehicle,0.1397,E21 Breach family violence order,0.1085,B21 Criminal damage,0.0873,B49 Other theft,0.0723,A231 FV Common assault,0.0611,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Mordialloc,3195,Kingston,562,2025,B42 Steal from a motor vehicle,0.1317,B21 Criminal damage,0.1121,B49 Other theft,0.089,E21 Breach family violence order,0.0783,B322 Non-residential non-aggravated burglary,0.0445,5702.9,15,54.8,Southern Melbourne,2025-09-30,405,550,720,600,750,910,580,25,26,28,24,19,28,26,73.3,74.7,72.7,76.3,81.6,71.6,75.0
Mornington,3931,Mornington Peninsula,1580,2025,B42 Steal from a motor vehicle,0.1614,B43 Steal from a retail store,0.1044,E21 Breach family violence order,0.081,B21 Criminal damage,0.0747,B322 Non-residential non-aggravated burglary,0.0747,5236.7,22,32.3,Mornington Peninsula,2025-09-30,,535,650,533,675,895,695,,29,38,33,26,29,10,,71.7,62.6,67.0,74.5,70.5,91.0
Mount Burnett,3781,Cardinia,5,2025,B321 Residential non-aggravated burglary,0.4,B322 Non-residential non-aggravated burglary,0.2,B42 Steal from a motor vehicle,0.2,B49 Other theft,0.2,,,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Mount Cottrell,3024,Wyndham,132,2025,B41 Motor vehicle theft,0.197,B42 Steal from a motor vehicle,0.1818,B49 Other theft,0.1515,B21 Criminal damage,0.0758,B11 Cause damage by fire,0.0682,5389.9,19,41.9,,,,,,,,,,,,,,,,,,,,,,,
Mount Dandenong,3767,Yarra Ranges,44,2025,B311 Residential aggravated burglary,0.1136,B21 Criminal damage,0.0909,B321 Residential non-aggravated burglary,0.0909,E21 Breach family violence order,0.0909,B19 Other fire related offences,0.0682,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Mount Eliza,3930,Mornington Peninsula,459,2025,B42 Steal from a motor vehicle,0.2593,B321 Residential non-aggravated burglary,0.0763,B41 Motor vehicle theft,0.0763,B43 Steal from a retail store,0.061,B49 Other theft,0.061,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Mount Evelyn,3796,Yarra Ranges,228,2025,B42 Steal from a motor vehicle,0.2061,B21 Criminal damage,0.0965,E21 Breach family violence order,0.0965,B53 Obtain benefit by deception,0.0658,Other crimes against the person,0.0526,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Mount Martha,3934,Mornington Peninsula,338,2025,B42 Steal from a motor vehicle,0.2396,E21 Breach family violence order,0.1124,B21 Criminal damage,0.0799,B53 Obtain benefit by deception,0.0799,B41 Motor vehicle theft,0.074,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Mount Toolebewong,3777,Yarra Ranges,2,2025,A712 Non-FV Stalking,0.5,D35 Improper movement on public or private space,0.5,,,,,,,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Mount Waverley,3149,Monash,1548,2025,B42 Steal from a motor vehicle,0.2881,B49 Other theft,0.0891,B321 Residential non-aggravated burglary,0.0749,B21 Criminal damage,0.0724,B41 Motor vehicle theft,0.0652,5566.4,17,48.4,Inner Eastern Melbourne,2025-09-30,280,540,700,570,660,800,695,40,28,30,30,27,37,10,56.7,72.7,70.7,70.1,73.5,62.1,91.0
Mulgrave,3170,Monash,1274,2025,B42 Steal from a motor vehicle,0.2449,B43 Steal from a retail store,0.1515,B49 Other theft,0.1028,B41 Motor vehicle theft,0.0683,B21 Criminal damage,0.0644,5566.4,17,48.4,Inner Eastern Melbourne,2025-09-30,550,640,660,590,640,780,695,3,13,37,25,29,40,10,97.8,87.9,63.6,75.3,71.4,58.9,91.0
Murrumbeena,3163,Glen Eira,418,2025,B42 Steal from a motor vehicle,0.3254,B41 Motor vehicle theft,0.1148,B21 Criminal damage,0.0813,B53 Obtain benefit by deception,0.0622,B321 Residential non-aggravated burglary,0.0598,3838.9,28,12.9,Southern Melbourne,2025-09-30,405,570,750,590,730,1050,580,25,24,22,25,21,21,26,73.3,76.8,78.8,75.3,79.6,78.9,75.0
Nangana,3781,Cardinia,3,2025,Other crimes against the person,0.3333,B19 Other fire related offences,0.3333,B21 Criminal damage,0.3333,,,,,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Nar Nar Goon,3812,Cardinia,64,2025,B322 Non-residential non-aggravated burglary,0.1562,B49 Other theft,0.1406,E21 Breach family violence order,0.125,B321 Residential non-aggravated burglary,0.1094,B53 Obtain benefit by deception,0.0781,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Nar Nar Goon North,3812,Cardinia,35,2025,B49 Other theft,0.2857,B42 Steal from a motor vehicle,0.2,A211 FV Serious assault,0.0857,B321 Residential non-aggravated burglary,0.0857,B43 Steal from a retail store,0.0571,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Narre Warren,3805,Casey,2771,2025,B42 Steal from a motor vehicle,0.2061,B43 Steal from a retail store,0.1278,B49 Other theft,0.0841,B41 Motor vehicle theft,0.0783,B21 Criminal damage,0.0628,5486.1,18,45.2,South Eastern Melbourne,2025-09-30,323,470,545,475,550,640,560,38,40,51,43,42,54,29,58.9,60.6,49.5,56.7,58.2,44.2,72.0
Narre Warren East,3804,Yarra Ranges,13,2025,B21 Criminal damage,0.1538,B321 Residential non-aggravated burglary,0.1538,B49 Other theft,0.1538,E21 Breach family violence order,0.1538,A211 FV Serious assault,0.0769,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Narre Warren North,3804,Casey,252,2025,B42 Steal from a motor vehicle,0.1587,B49 Other theft,0.0794,B41 Motor vehicle theft,0.0675,B21 Criminal damage,0.0635,B321 Residential non-aggravated burglary,0.0635,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Narre Warren South,3805,Casey,908,2025,B42 Steal from a motor vehicle,0.1729,B21 Criminal damage,0.0837,B41 Motor vehicle theft,0.0837,E21 Breach family violence order,0.0749,B49 Other theft,0.0683,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Newport,3015,Hobsons Bay,735,2025,B42 Steal from a motor vehicle,0.2735,B49 Other theft,0.1034,B41 Motor vehicle theft,0.0735,B22 Graffiti,0.0599,B21 Criminal damage,0.0558,6402.7,10,71.0,Outer Western Melbourne,2025-09-30,455,575,725,580,700,925,620,17,23,27,28,24,27,21,82.2,77.8,73.7,72.2,76.5,72.6,80.0
